current_level,accuracy,response_time,total_attempts,later_attempts,later_mistakes,previous_score,difficulty_change
1,26.81,64.23,8,6,1,47.62,SAME
5,25.34,209.53,21,3,3,52.45,EASIER
3,25.0,99.32,17,5,0,64.27,SAME
4,25.0,126.15,17,2,1,83.35,EASIER
2,51.1,43.04,6,0,0,75.52,HARDER
1,66.47,29.45,3,1,0,74.78,HARDER
1,64.72,44.48,3,1,0,85.53,HARDER
5,28.03,189.69,22,4,1,69.9,SAME
3,30.53,112.22,14,2,1,57.47,EASIER
5,34.28,234.55,20,2,2,69.21,EASIER
3,35.31,91.79,13,1,1,61.64,EASIER
3,25.0,146.25,16,4,2,47.55,EASIER
1,96.8,20.0,2,0,0,72.19,HARDER
3,33.43,71.24,12,0,0,91.07,HARDER
3,25.0,142.05,15,3,3,65.9,EASIER
5,25.0,298.63,23,5,5,35.63,EASIER
1,25.0,68.03,9,7,2,67.76,SAME
2,44.06,67.96,7,1,0,72.99,HARDER
2,51.44,72.27,6,0,0,47.98,SAME
4,25.0,174.88,18,3,0,45.48,SAME
3,33.83,101.53,13,1,0,82.74,HARDER
4,27.46,134.24,17,2,2,62.47,EASIER
4,25.0,226.32,19,4,3,85.35,EASIER
2,42.08,53.74,7,1,0,65.27,HARDER
2,35.21,84.98,9,3,2,73.75,EASIER
4,25.0,214.8,20,5,2,35.62,EASIER
5,25.0,280.33,25,7,2,40.73,EASIER
1,98.77,30.42,2,0,0,96.21,HARDER
4,28.27,165.38,17,2,0,56.86,SAME
3,31.03,99.97,14,2,0,58.34,SAME
5,25.62,190.5,20,2,2,63.87,EASIER
3,30.24,73.94,13,1,0,65.44,HARDER
4,28.15,193.03,20,5,2,54.14,EASIER
3,27.96,101.8,14,2,1,69.92,EASIER
4,34.79,119.74,15,0,0,58.1,SAME
2,44.58,55.37,6,0,0,85.72,HARDER
5,34.21,145.84,19,1,0,72.36,SAME
5,34.23,197.11,23,5,0,64.49,SAME
5,28.28,161.84,21,3,1,84.5,SAME
2,34.0,71.15,8,2,0,79.28,HARDER
2,43.12,79.94,7,1,0,60.97,SAME
5,25.0,300.0,28,10,7,36.82,EASIER
5,32.04,152.43,19,1,0,87.1,SAME
2,33.43,79.74,9,3,0,67.24,HARDER
4,31.73,109.45,16,1,1,74.83,EASIER
3,32.83,119.1,12,0,0,90.49,HARDER
1,100.0,20.0,2,0,0,72.91,HARDER
2,48.97,45.47,6,0,0,70.24,HARDER
1,100.0,39.04,2,0,0,76.75,HARDER
1,100.0,24.44,2,0,0,85.42,HARDER
2,33.75,66.83,9,3,1,53.65,SAME
4,38.5,92.73,15,0,0,74.25,HARDER
4,33.46,164.18,17,2,0,75.87,HARDER
1,60.5,60.06,3,1,0,69.18,HARDER
2,45.97,48.76,6,0,0,67.15,HARDER
4,25.0,146.35,19,4,0,71.1,HARDER
1,54.43,51.7,4,2,0,58.09,SAME
3,36.28,82.2,12,0,0,81.08,HARDER
4,27.9,200.86,21,6,2,50.69,EASIER
5,25.0,193.62,22,4,2,45.15,EASIER
4,40.84,92.91,15,0,0,100.0,HARDER
5,25.0,195.87,24,6,2,72.11,SAME
4,36.83,109.57,16,1,1,65.18,EASIER
4,25.0,195.01,21,6,2,39.46,EASIER
5,34.66,133.94,18,0,0,87.87,SAME
2,49.27,64.26,6,0,0,74.36,HARDER
2,44.78,59.9,6,0,0,64.99,SAME
4,32.12,113.44,15,0,0,100.0,HARDER
5,27.84,233.79,24,6,4,60.69,EASIER
2,50.18,57.91,6,0,0,93.49,HARDER
5,29.68,254.03,23,5,3,59.15,EASIER
3,33.15,119.16,13,1,1,64.68,EASIER
3,30.03,86.84,14,2,0,80.73,HARDER
1,67.18,51.81,3,1,1,61.93,SAME
3,25.0,134.71,16,4,1,50.05,SAME
2,48.24,69.12,6,0,0,80.7,HARDER
5,25.0,300.0,29,11,9,54.29,EASIER
3,26.24,133.25,15,3,1,59.4,SAME
5,27.91,248.68,23,5,2,59.45,EASIER
5,29.7,161.11,20,2,1,84.93,EASIER
2,34.67,63.72,7,1,0,67.58,HARDER
2,49.24,54.5,6,0,0,95.32,HARDER
2,58.31,53.4,6,0,0,83.96,HARDER
5,27.91,187.6,21,3,1,95.92,SAME
3,34.55,81.35,12,0,0,65.7,HARDER
1,98.42,20.0,2,0,0,92.48,HARDER
3,33.58,93.18,13,1,1,84.13,EASIER
5,31.6,211.95,21,3,1,69.29,EASIER
4,28.14,160.26,18,3,0,70.02,HARDER
1,100.0,29.96,2,0,0,52.59,SAME
3,31.96,80.09,13,1,0,58.75,SAME
4,29.66,180.33,18,3,2,87.56,EASIER
2,48.26,48.34,6,0,0,83.05,HARDER
2,48.66,42.41,6,0,0,98.39,HARDER
3,38.13,66.67,12,0,0,73.93,HARDER
3,29.68,71.79,12,0,0,97.39,HARDER
5,25.0,259.35,25,7,4,54.29,EASIER
5,26.78,176.5,23,5,1,79.5,SAME
2,52.55,67.96,6,0,0,76.09,HARDER
4,26.92,213.15,20,5,3,50.4,EASIER
2,52.52,65.96,6,0,0,62.26,SAME
3,25.0,138.8,15,3,0,73.78,HARDER
3,28.7,117.44,14,2,1,96.99,EASIER
5,25.0,258.22,26,8,5,43.63,EASIER
1,100.0,30.03,2,0,0,100.0,HARDER
4,25.0,188.3,20,5,1,43.42,SAME
1,49.38,57.0,4,2,2,62.6,SAME
2,44.43,68.85,7,1,1,78.12,EASIER
2,25.39,91.44,11,5,1,78.6,HARDER
4,25.0,131.85,20,5,2,74.79,EASIER
5,30.08,160.6,21,3,2,82.48,EASIER
2,44.33,62.81,6,0,0,62.54,SAME
4,30.57,114.32,18,3,1,77.21,SAME
5,30.96,254.71,25,7,5,25.0,EASIER
4,31.78,234.66,18,3,3,47.58,EASIER
4,27.95,212.59,19,4,3,52.84,EASIER
4,27.28,97.66,17,2,1,75.16,EASIER
3,28.52,124.08,13,1,0,63.91,SAME
3,40.27,125.38,12,0,0,70.77,HARDER
4,27.82,139.07,16,1,1,73.21,EASIER
2,31.47,103.44,10,4,0,54.0,SAME
2,28.35,108.16,11,5,2,47.09,EASIER
1,99.23,38.06,2,0,0,91.92,HARDER
3,29.99,176.18,15,3,3,67.92,EASIER
2,33.06,92.03,8,2,1,88.13,EASIER
1,66.59,31.33,3,1,0,53.63,SAME
4,26.62,170.24,20,5,0,57.58,SAME
3,30.78,107.08,14,2,0,63.01,SAME
5,30.02,252.63,22,4,3,57.78,EASIER
4,30.33,136.46,18,3,1,95.83,SAME
4,27.47,143.69,20,5,2,83.17,SAME
2,47.7,54.83,6,0,0,88.7,HARDER
3,28.4,119.36,13,1,1,87.65,EASIER
3,31.1,119.9,12,0,0,83.69,HARDER
5,25.0,209.86,25,7,2,74.68,SAME
3,25.65,142.63,15,3,3,67.04,EASIER
2,50.9,45.32,6,0,0,89.92,HARDER
4,25.0,194.58,21,6,1,55.44,SAME
4,25.0,190.76,24,9,4,53.83,EASIER
3,27.0,137.37,14,2,1,67.15,EASIER
4,33.06,125.24,16,1,0,58.17,SAME
5,28.1,273.93,23,5,4,41.61,EASIER
1,99.0,21.25,2,0,0,92.43,HARDER
3,38.73,87.95,12,0,0,64.25,SAME
4,25.94,197.25,17,2,2,39.52,EASIER
5,27.26,300.0,24,6,5,62.18,EASIER
1,100.0,26.24,2,0,0,87.23,HARDER
2,32.19,78.57,9,3,3,67.32,EASIER
4,33.85,104.05,15,0,0,100.0,HARDER
1,97.87,20.0,2,0,0,88.26,HARDER
4,30.18,212.51,19,4,3,41.72,EASIER
3,25.0,169.84,15,3,0,58.04,SAME
3,32.11,90.46,12,0,0,60.43,SAME
1,47.5,73.24,4,2,1,61.59,SAME
3,25.16,124.22,16,4,2,68.12,EASIER
4,33.05,106.77,16,1,0,90.93,HARDER
5,25.0,300.0,26,8,4,33.12,EASIER
4,34.56,167.52,16,1,0,79.28,HARDER
5,35.69,135.07,19,1,0,96.19,SAME
2,31.74,66.52,9,3,0,58.2,SAME
3,30.09,104.73,13,1,0,73.29,HARDER
2,27.64,93.94,10,4,1,72.58,SAME
4,39.19,105.2,15,0,0,80.46,HARDER
4,27.82,178.79,18,3,3,51.61,EASIER
4,25.0,228.14,19,4,1,56.74,EASIER
5,25.0,118.97,20,2,2,60.8,EASIER
5,25.0,253.67,25,7,5,49.97,EASIER
1,62.14,38.99,3,1,0,50.77,SAME
2,32.4,84.29,10,4,1,56.9,SAME
2,34.56,89.53,8,2,1,42.21,EASIER
4,31.73,133.57,16,1,0,74.17,HARDER
2,52.67,30.0,6,0,0,100.0,HARDER
4,28.93,125.71,18,3,2,67.84,EASIER
1,95.14,25.94,2,0,0,56.9,SAME
3,28.19,146.8,16,4,2,73.34,EASIER
4,27.73,160.22,17,2,0,69.99,HARDER
5,28.58,210.98,21,3,2,59.58,EASIER
5,30.5,247.15,19,1,0,64.21,EASIER
5,27.21,173.47,19,1,1,77.78,EASIER
1,29.38,84.39,6,4,1,39.03,SAME
1,45.66,30.65,4,2,0,90.34,HARDER
4,25.0,140.73,20,5,1,57.12,SAME
2,46.82,41.27,6,0,0,92.72,HARDER
5,31.65,247.19,24,6,3,61.92,EASIER
3,25.0,207.3,20,8,6,40.68,EASIER
3,26.17,99.47,14,2,0,58.21,SAME
5,28.54,202.4,22,4,3,73.0,EASIER
2,54.52,48.92,6,0,0,51.78,SAME
2,36.97,98.54,8,2,0,57.54,SAME
1,63.6,34.68,3,1,0,69.03,HARDER
1,67.45,35.3,3,1,0,76.03,HARDER
1,100.0,35.93,2,0,0,42.13,SAME
2,25.88,115.17,10,4,1,60.34,SAME
1,98.9,33.99,2,0,0,67.25,HARDER
3,30.87,96.78,16,4,2,67.48,EASIER
1,99.43,31.57,2,0,0,89.58,HARDER
3,34.4,65.6,12,0,0,100.0,HARDER
3,25.0,156.29,15,3,2,60.41,EASIER
4,29.83,120.08,16,1,1,78.29,EASIER
2,39.98,96.89,7,1,0,63.14,SAME
2,44.63,83.73,6,0,0,68.27,HARDER
3,33.2,122.53,13,1,0,70.01,HARDER
4,37.2,107.29,16,1,1,75.28,EASIER
4,28.13,134.68,16,1,0,82.01,HARDER
2,46.43,36.95,6,0,0,83.3,HARDER
5,30.52,287.26,22,4,3,45.94,EASIER
5,25.28,293.49,25,7,6,44.97,EASIER
1,47.82,44.77,4,2,0,49.61,SAME
5,25.0,300.0,28,10,2,33.42,EASIER
1,100.0,24.0,2,0,0,66.51,HARDER
3,33.22,86.39,13,1,0,67.6,HARDER
3,29.9,77.52,14,2,0,71.04,HARDER
5,27.54,156.52,22,4,2,80.47,EASIER
3,25.0,163.67,19,7,2,51.04,SAME
4,29.55,119.98,19,4,1,65.15,SAME
5,25.0,274.94,25,7,3,43.18,EASIER
2,25.98,87.08,10,4,1,60.82,SAME
2,49.17,53.37,6,0,0,100.0,HARDER
5,25.0,269.73,23,5,4,60.63,EASIER
3,27.69,142.65,15,3,0,53.61,SAME
1,66.94,30.72,3,1,1,79.94,SAME
1,98.01,23.44,2,0,0,90.7,HARDER
4,27.65,243.54,20,5,4,41.15,EASIER
1,26.93,44.78,6,4,0,70.58,HARDER
5,35.2,227.8,18,0,0,54.75,SAME
5,29.86,198.83,20,2,1,70.22,EASIER
3,35.34,101.23,12,0,0,94.12,HARDER
2,42.63,48.23,7,1,0,75.46,HARDER
5,31.39,162.5,18,0,0,65.65,SAME
3,32.72,102.88,12,0,0,81.76,HARDER
4,27.14,138.99,17,2,1,69.01,EASIER
2,44.87,108.74,7,1,0,60.44,SAME
1,41.71,68.55,5,3,2,73.19,SAME
3,27.62,159.4,15,3,2,59.52,EASIER
2,32.31,94.29,8,2,1,62.85,EASIER
2,42.31,72.86,8,2,0,58.27,SAME
4,25.0,162.94,19,4,1,78.66,SAME
5,28.24,184.81,19,1,0,99.23,SAME
4,27.94,213.15,18,3,1,49.37,EASIER
2,51.0,59.46,6,0,0,91.64,HARDER
2,45.9,81.87,7,1,1,71.72,EASIER
5,31.41,162.73,20,2,1,87.08,EASIER
5,30.53,139.13,19,1,1,97.74,EASIER
2,45.06,82.34,7,1,0,61.81,SAME
3,37.83,81.05,12,0,0,62.94,SAME
3,34.91,78.92,12,0,0,84.48,HARDER
4,25.0,124.63,18,3,2,83.47,EASIER
4,25.0,144.5,18,3,2,65.61,EASIER
4,25.0,124.03,18,3,1,57.52,SAME
1,99.51,30.1,2,0,0,65.7,HARDER
2,52.88,37.89,6,0,0,80.19,HARDER
4,30.36,134.02,16,1,0,66.61,HARDER
5,29.66,196.14,21,3,1,87.69,SAME
2,42.41,55.71,7,1,0,67.51,HARDER
2,54.14,58.22,6,0,0,63.4,SAME
3,26.14,113.08,15,3,1,70.46,SAME
3,35.34,75.29,12,0,0,78.22,HARDER
1,100.0,20.0,2,0,0,100.0,HARDER
1,66.3,26.76,3,1,0,77.42,HARDER
1,99.13,27.5,2,0,0,82.11,HARDER
3,25.0,134.08,15,3,1,64.46,SAME
1,99.05,20.0,2,0,0,89.9,HARDER
3,27.37,111.17,13,1,0,61.05,SAME
3,31.77,104.58,12,0,0,95.6,HARDER
1,99.95,20.0,2,0,0,88.94,HARDER
2,28.74,103.15,10,4,2,47.79,EASIER
5,25.97,178.3,20,2,1,94.02,EASIER
2,52.47,59.78,6,0,0,94.53,HARDER
4,33.61,97.29,15,0,0,100.0,HARDER
4,25.0,130.33,17,2,0,56.21,SAME
3,31.93,129.24,14,2,1,72.81,EASIER
2,25.0,136.68,12,6,4,36.71,EASIER
2,48.13,53.62,6,0,0,71.48,HARDER
3,25.0,210.0,18,6,5,32.74,EASIER
4,25.22,186.03,18,3,2,53.64,EASIER
5,30.44,155.69,22,4,3,67.44,EASIER
1,51.7,52.71,4,2,0,52.14,SAME
3,25.0,142.59,19,7,3,59.52,EASIER
1,100.0,33.16,2,0,0,61.37,SAME
2,54.69,57.98,6,0,0,68.03,HARDER
2,30.64,83.41,10,4,2,57.36,EASIER
2,51.36,55.99,6,0,0,56.87,SAME
5,29.32,300.0,23,5,3,62.01,EASIER
2,35.95,48.58,8,2,0,86.8,HARDER
2,50.05,69.25,6,0,0,48.68,SAME
4,28.7,236.24,19,4,3,50.94,EASIER
4,25.0,120.55,15,0,0,94.23,HARDER
4,28.02,190.0,19,4,3,63.59,EASIER
2,25.0,97.27,10,4,2,46.22,EASIER
2,34.65,98.32,8,2,0,36.95,SAME
5,29.72,159.5,20,2,2,72.04,EASIER
3,25.0,104.44,15,3,0,60.84,SAME
4,33.89,212.83,17,2,1,66.62,EASIER
1,66.61,45.36,3,1,0,67.25,HARDER
4,26.54,91.61,16,1,0,61.98,SAME
5,25.2,184.54,24,6,4,58.6,EASIER
3,32.65,119.0,12,0,0,83.68,HARDER
5,25.0,288.5,26,8,3,49.33,EASIER
4,33.57,129.7,16,1,0,76.52,HARDER
5,26.19,210.92,23,5,1,60.38,SAME
5,38.83,154.39,18,0,0,76.18,SAME
3,31.96,80.58,12,0,0,89.11,HARDER
1,100.0,30.63,2,0,0,84.8,HARDER
5,31.99,167.56,21,3,1,62.27,SAME
1,31.53,84.01,6,4,3,54.44,SAME
1,64.34,39.76,3,1,0,75.86,HARDER
2,25.0,96.96,12,6,2,61.36,SAME
1,97.43,31.32,2,0,0,85.25,HARDER
2,46.16,60.77,7,1,0,58.22,SAME
3,27.96,68.03,15,3,0,74.48,HARDER
4,28.73,189.79,18,3,2,57.78,EASIER
5,25.0,265.5,28,10,6,29.43,EASIER
5,25.0,200.32,24,6,4,59.73,EASIER
4,26.23,190.01,22,7,3,73.1,EASIER
4,40.53,130.27,15,0,0,76.97,HARDER
2,32.67,105.02,10,4,2,66.3,EASIER
1,69.96,41.34,3,1,1,67.15,SAME
2,38.7,78.54,8,2,1,76.45,SAME
4,28.61,123.3,15,0,0,83.08,HARDER
5,25.0,177.28,23,5,4,75.68,EASIER
5,26.81,229.32,23,5,2,49.28,HARDER
5,26.21,296.85,25,7,5,42.11,EASIER
5,25.0,300.0,27,9,8,50.87,EASIER
5,30.82,164.06,20,2,2,80.62,EASIER
4,33.13,176.94,17,2,1,49.39,EASIER
2,49.8,48.73,6,0,0,53.22,SAME
1,100.0,43.53,2,0,0,68.63,HARDER
1,68.06,34.6,3,1,0,100.0,HARDER
3,33.47,82.18,12,0,0,88.81,HARDER
3,31.54,75.44,12,0,0,91.59,HARDER
5,25.0,300.0,22,4,4,57.86,EASIER
4,30.62,95.0,15,0,0,88.24,HARDER
2,48.19,54.32,6,0,0,79.02,HARDER
2,36.01,70.49,8,2,0,82.54,HARDER
2,36.95,81.31,8,2,1,70.19,EASIER
2,44.91,52.42,7,1,0,83.35,HARDER
