puzzle_pieces,accuracy,response_time,attempts,mistakes,previous_score,current_level,difficulty_change
16,84.78,22.0,25,3,65.89,5,SAME
6,85.69,16.47,9,1,93.02,2,HARDER
16,78.61,43.42,21,4,67.68,5,SAME
12,70.42,30.07,23,5,48.49,4,EASIER
9,81.01,21.56,14,2,79.38,3,HARDER
6,84.43,22.14,7,1,84.63,2,HARDER
4,66.49,29.42,8,2,72.81,1,SAME
16,79.51,28.33,21,4,81.36,5,HARDER
4,66.02,11.55,11,2,83.35,1,EASIER
4,77.69,8.55,6,1,90.92,1,HARDER
6,85.16,20.25,7,1,88.94,2,HARDER
4,65.84,18.04,6,2,78.89,1,EASIER
6,85.19,14.17,8,1,85.85,2,HARDER
6,86.67,17.95,8,1,98.5,2,HARDER
6,100.0,10.46,6,0,100.0,2,HARDER
9,75.08,19.41,12,3,72.15,3,SAME
6,100.0,10.53,6,0,89.24,2,HARDER
9,100.0,21.96,9,0,96.47,3,HARDER
12,100.0,23.73,12,0,100.0,4,HARDER
12,75.74,28.74,24,4,54.68,4,EASIER
12,80.02,29.14,18,3,82.74,4,SAME
9,98.7,13.54,9,0,91.76,3,HARDER
12,80.13,32.61,15,3,80.23,4,SAME
12,84.97,32.52,16,2,75.26,4,SAME
6,86.51,12.68,8,1,81.27,2,HARDER
9,83.33,17.52,13,2,85.9,3,EASIER
16,84.9,22.0,24,3,61.66,5,SAME
12,76.12,25.49,20,4,62.82,4,SAME
12,87.25,28.52,17,2,91.39,4,HARDER
12,97.63,19.08,12,0,94.72,4,HARDER
6,99.8,13.09,6,0,100.0,2,HARDER
12,65.46,43.31,24,7,39.34,4,EASIER
4,99.83,17.93,4,0,90.21,1,HARDER
16,69.78,57.55,28,7,47.39,5,EASIER
16,88.43,23.42,21,2,80.11,5,HARDER
9,82.83,16.4,13,2,93.08,3,HARDER
12,80.81,21.92,15,3,80.22,4,SAME
12,87.12,23.91,17,2,80.74,4,HARDER
6,76.3,18.19,8,2,88.22,2,HARDER
9,90.77,17.14,10,1,100.0,3,HARDER
16,80.32,51.37,22,4,67.34,5,HARDER
6,85.75,22.33,8,1,90.36,2,HARDER
9,80.8,15.65,13,2,87.92,3,HARDER
4,80.85,14.31,6,1,81.87,1,HARDER
16,85.01,25.57,20,3,77.73,5,HARDER
16,88.73,37.64,20,2,87.8,5,HARDER
9,81.31,16.87,16,2,80.02,3,HARDER
12,93.79,20.36,15,1,94.34,4,HARDER
16,78.94,48.5,21,5,59.15,5,EASIER
6,86.51,17.48,7,1,84.66,2,HARDER
16,76.72,36.62,23,5,64.26,5,SAME
16,87.62,32.33,20,2,81.77,5,HARDER
4,100.0,10.34,4,0,100.0,1,HARDER
6,61.68,23.71,12,4,83.76,2,EASIER
6,100.0,11.65,6,0,100.0,2,HARDER
12,84.3,27.71,15,2,76.66,4,HARDER
12,75.61,23.53,20,4,71.65,4,SAME
9,88.79,25.18,11,1,83.66,3,HARDER
6,99.96,13.52,6,0,100.0,2,HARDER
12,78.89,31.49,18,3,86.03,4,SAME
12,91.28,30.1,13,1,100.0,4,HARDER
4,100.0,8.2,4,0,99.5,1,HARDER
16,85.01,33.37,20,3,75.87,5,HARDER
9,90.69,11.88,10,1,100.0,3,HARDER
4,78.92,19.08,5,1,87.89,1,SAME
16,78.11,40.33,26,5,55.45,5,EASIER
