sequence_length,accuracy,response_time,total_attempts,mistakes,previous_score,current_level,difficulty_change
3,100.0,47.21,1,0,96.74,1,SAME
6,67.34,205.23,1,2,56.73,4,EASIER
6,49.18,97.37,2,3,42.92,4,EASIER
5,100.0,31.59,1,0,96.45,3,HARDER
5,44.14,139.47,3,2,41.16,3,EASIER
7,39.29,64.3,5,4,33.88,5,EASIER
3,87.4,29.06,1,0,83.3,1,HARDER
6,61.7,71.75,2,1,59.5,4,SAME
4,81.17,31.04,2,0,84.23,2,SAME
3,94.2,35.13,1,1,98.97,1,SAME
5,84.59,65.46,2,1,82.15,3,SAME
7,31.87,148.15,4,4,26.71,5,EASIER
6,74.4,53.65,1,1,70.22,4,HARDER
6,62.69,74.9,3,3,57.45,4,EASIER
6,81.89,54.96,3,2,82.34,4,SAME
6,61.5,73.94,3,3,55.66,4,EASIER
5,64.35,54.69,1,2,58.92,3,SAME
3,100.0,56.8,1,0,99.53,1,EASIER
7,58.12,97.24,1,2,52.63,5,SAME
5,60.53,20.25,2,3,53.79,3,EASIER
5,86.98,115.7,1,2,84.53,3,SAME
4,77.74,46.93,2,1,73.51,2,SAME
3,87.81,23.58,1,0,80.21,1,HARDER
7,60.54,88.25,4,3,54.22,5,EASIER
6,43.36,50.11,4,4,35.38,4,EASIER
6,45.87,224.64,2,3,41.4,4,EASIER
5,82.34,59.51,1,1,82.33,3,SAME
7,38.17,43.44,1,3,33.77,5,EASIER
5,63.95,68.22,3,3,57.14,3,EASIER
5,67.09,105.37,2,1,66.22,3,SAME
5,67.23,62.67,1,2,66.22,3,SAME
4,76.81,24.87,2,2,71.63,2,SAME
3,92.85,16.08,1,0,92.04,1,HARDER
5,69.52,36.83,2,2,71.94,3,SAME
7,53.41,256.67,2,2,52.38,5,EASIER
3,92.97,24.22,1,1,95.55,1,HARDER
7,40.14,44.86,4,3,36.24,5,EASIER
7,47.63,138.08,4,3,41.16,5,EASIER
4,86.74,40.6,1,1,87.32,2,HARDER
6,89.02,64.93,3,0,87.72,4,SAME
3,100.0,15.88,1,0,96.08,1,HARDER
6,57.18,47.16,2,3,50.09,4,EASIER
6,32.1,144.28,3,4,27.22,4,EASIER
4,76.17,42.69,1,0,75.86,2,SAME
3,60.06,30.93,2,2,56.0,1,SAME
7,55.04,127.98,3,2,50.82,5,SAME
5,72.98,68.21,1,1,71.23,3,SAME
7,47.54,86.77,2,3,46.74,5,EASIER
6,62.58,73.68,3,3,52.55,4,EASIER
6,60.47,150.28,1,1,59.7,4,SAME
6,46.21,171.11,4,3,45.06,4,EASIER
3,87.07,14.51,1,0,87.71,1,HARDER
4,84.85,34.46,1,1,84.75,2,SAME
5,74.8,87.87,3,2,75.03,3,SAME
5,79.92,147.24,1,1,75.82,3,EASIER
3,100.0,55.25,1,1,98.93,1,EASIER
5,80.79,39.12,1,0,77.2,3,SAME
3,68.57,44.09,1,1,69.36,1,SAME
6,48.27,84.54,3,4,47.06,4,EASIER
6,33.5,141.15,3,5,27.92,4,EASIER
7,68.3,172.11,1,2,62.34,5,SAME
6,56.17,42.5,3,2,60.78,4,SAME
4,96.96,49.21,1,1,98.66,2,HARDER
7,46.88,193.76,4,4,38.51,5,EASIER
5,61.62,57.42,3,3,57.63,3,EASIER
4,82.2,33.85,4,2,77.82,2,EASIER
7,52.55,47.56,4,3,48.15,5,EASIER
4,69.74,52.4,3,3,67.82,2,EASIER
3,73.59,27.43,4,2,69.42,1,EASIER
5,71.55,36.74,4,3,63.62,3,EASIER
6,53.92,69.22,4,3,45.44,4,EASIER
3,82.53,26.78,1,1,80.96,1,SAME
5,50.06,43.99,3,2,49.52,3,EASIER
3,80.09,25.03,2,2,72.08,1,SAME
6,34.51,33.01,5,5,26.77,4,EASIER
5,60.84,113.12,3,2,57.86,3,SAME
4,78.31,38.29,1,0,76.21,2,SAME
4,79.78,22.67,1,2,72.91,2,SAME
5,90.34,17.17,1,2,87.9,3,SAME
6,76.57,140.03,2,1,76.05,4,SAME
7,37.26,151.81,3,3,32.57,5,EASIER
5,72.54,64.38,1,1,71.02,3,SAME
3,86.53,36.72,1,0,85.49,1,SAME
7,54.09,179.05,2,3,49.03,5,EASIER
6,52.09,90.72,4,4,51.61,4,EASIER
6,57.42,71.85,2,2,55.11,4,SAME
3,95.61,20.76,1,0,97.97,1,HARDER
4,71.26,46.31,2,2,65.63,2,SAME
6,58.89,169.55,1,2,53.26,4,EASIER
7,39.0,105.89,3,4,33.37,5,EASIER
5,62.39,120.46,4,3,55.78,3,EASIER
7,70.98,137.26,1,2,65.05,5,SAME
7,43.75,137.82,4,4,35.3,5,EASIER
4,77.92,117.68,2,1,74.83,2,EASIER
7,62.1,275.67,1,2,65.72,5,EASIER
4,88.62,83.64,1,0,94.41,2,EASIER
4,92.01,26.12,1,1,94.13,2,HARDER
6,51.33,256.38,1,3,50.35,4,EASIER
6,46.46,78.57,2,2,45.94,4,EASIER
3,67.3,22.59,3,2,60.0,1,SAME
7,87.14,34.53,1,0,89.55,5,EASIER
3,73.08,28.91,3,2,65.1,1,SAME
7,66.61,62.06,3,2,68.26,5,SAME
3,95.56,29.98,1,1,95.6,1,HARDER
6,55.67,44.82,3,3,48.78,4,EASIER
6,28.93,208.83,4,4,24.16,4,EASIER
6,32.08,109.24,5,5,21.54,4,EASIER
6,53.64,268.34,1,2,50.13,4,EASIER
5,75.52,34.95,1,1,73.8,3,SAME
6,67.89,183.51,1,1,65.4,4,EASIER
4,76.54,16.29,1,1,80.42,2,SAME
6,62.19,91.37,1,2,61.07,4,SAME
5,72.6,42.43,3,2,71.35,3,SAME
5,97.88,46.47,1,0,96.42,3,HARDER
5,63.94,44.92,3,2,60.18,3,SAME
5,67.88,36.88,3,2,67.9,3,SAME
3,88.39,14.27,1,0,86.83,1,HARDER
3,89.29,20.53,1,0,87.74,1,HARDER
4,74.5,40.13,2,2,71.89,2,SAME
3,84.8,41.96,1,0,85.63,1,SAME
5,82.38,67.13,1,1,79.97,3,SAME
6,71.31,150.4,1,1,68.69,4,SAME
6,67.32,38.02,1,2,60.34,4,SAME
5,63.68,46.81,2,1,64.42,3,SAME
7,46.51,165.01,2,2,41.46,5,EASIER
5,83.31,68.74,1,2,80.17,3,SAME
3,74.17,17.04,2,2,63.68,1,SAME
6,40.71,133.28,3,4,36.83,4,EASIER
5,80.11,44.59,1,2,80.33,3,SAME
6,69.26,54.73,1,1,69.93,4,SAME
5,74.21,73.81,1,2,73.49,3,SAME
5,79.15,58.18,2,0,78.38,3,SAME
3,89.43,19.81,1,0,94.99,1,HARDER
5,55.8,44.03,3,3,50.61,3,EASIER
6,71.88,47.01,1,1,74.82,4,SAME
4,62.83,31.55,3,3,56.86,2,EASIER
6,74.67,145.29,1,1,78.68,4,SAME
