current_level,accuracy,response_time,total_attempts,mistakes,previous_score,hint_used,difficulty_score,difficulty_change
1,100.0,20.42,6,0,88.97,0,0.536,EASIER
4,92.64,42.86,6,0,86.82,0,1.996,HARDER
4,78.3,75.47,10,2,75.84,0,2.629,EASIER
3,67.72,15.86,6,0,78.24,0,1.79,SAME
3,97.73,13.49,6,0,90.16,0,1.324,HARDER
5,59.82,31.9,7,1,63.85,0,2.915,EASIER
1,93.38,7.71,6,0,86.1,0,0.551,HARDER
4,72.43,31.3,9,2,80.52,0,2.422,SAME
2,80.69,30.3,9,2,83.77,0,1.492,SAME
1,97.64,20.27,6,0,95.2,0,0.57,HARDER
3,82.44,46.76,7,1,78.04,0,1.875,SAME
5,75.13,57.99,9,2,77.23,0,2.96,EASIER
4,66.84,34.03,6,0,67.42,0,2.324,EASIER
4,73.26,32.41,9,2,75.69,0,2.417,EASIER
4,67.3,47.65,8,1,68.03,0,2.508,EASIER
4,73.01,21.69,9,2,71.31,0,2.349,EASIER
3,78.81,8.7,7,1,73.87,0,1.676,SAME
1,100.0,21.04,6,0,90.78,0,0.54,HARDER
5,67.41,54.91,8,1,73.22,0,2.955,EASIER
3,58.74,58.07,8,2,67.72,0,2.406,EASIER
3,93.95,40.96,8,1,82.46,0,1.664,HARDER
2,89.49,27.16,9,2,82.41,0,1.339,HARDER
1,88.69,15.89,10,3,76.64,0,0.976,SAME
5,65.63,36.15,9,2,64.99,0,2.957,EASIER
4,65.53,35.76,9,2,63.72,1,2.555,EASIER
4,94.38,58.61,6,0,79.13,0,2.075,HARDER
3,80.52,37.32,7,1,75.39,0,1.841,SAME
5,52.62,72.65,14,5,67.76,0,3.695,EASIER
3,83.28,32.35,7,1,78.39,1,1.767,SAME
3,92.06,21.63,6,0,89.39,0,1.463,HARDER
3,81.56,49.31,6,0,77.68,0,1.805,SAME
2,75.98,36.82,6,0,72.31,1,1.406,SAME
1,80.09,19.39,11,2,83.02,0,1.028,SAME
3,70.83,38.72,9,2,78.98,0,2.096,EASIER
5,85.22,61.09,9,2,73.98,0,2.829,EASIER
1,89.28,14.92,7,1,89.26,0,0.76,HARDER
5,53.21,45.06,8,2,60.41,0,3.202,EASIER
5,73.84,34.75,9,2,66.36,0,2.824,EASIER
2,86.41,21.6,6,0,78.88,0,1.148,HARDER
4,70.51,60.41,13,4,70.01,1,2.845,EASIER
1,79.8,25.2,12,3,80.19,0,1.171,SAME
4,64.36,50.01,8,1,68.84,0,2.568,EASIER
4,85.87,58.71,6,0,78.62,0,2.203,SAME
2,87.48,20.74,6,0,85.22,0,1.126,HARDER
1,94.79,11.26,6,0,83.13,0,0.553,HARDER
5,72.45,46.96,8,1,69.57,0,2.826,EASIER
3,83.28,30.05,8,1,88.76,0,1.751,SAME
5,65.32,65.52,8,1,58.74,0,3.057,EASIER
4,72.94,49.08,9,2,76.34,0,2.533,EASIER
4,86.65,59.93,6,0,75.19,0,2.2,SAME
4,89.15,17.87,8,2,84.63,0,2.082,SAME
1,77.78,13.08,9,2,75.71,0,1.021,EASIER
2,82.92,23.14,6,0,75.19,0,1.21,SAME
3,88.39,37.55,8,1,81.71,0,1.724,SAME
3,98.82,71.65,6,0,83.88,0,1.695,HARDER
1,100.0,12.18,6,0,92.39,0,0.481,HARDER
3,72.04,23.34,7,1,75.28,0,1.875,SAME
1,100.0,15.2,6,0,96.07,0,0.501,HARDER
4,75.59,29.69,8,1,82.59,0,2.264,SAME
4,85.44,28.04,6,0,78.55,0,2.005,HARDER
5,77.88,50.93,6,0,72.09,1,2.671,SAME
4,62.36,59.28,8,2,62.22,0,2.76,EASIER
2,90.5,25.17,11,3,90.38,0,1.41,SAME
5,80.06,35.45,6,0,74.31,0,2.535,SAME
3,79.8,28.66,9,2,79.22,0,1.894,SAME
2,82.54,15.84,9,2,71.54,0,1.368,SAME
5,54.28,74.09,13,4,59.55,0,3.58,EASIER
2,91.84,43.23,6,0,85.88,1,1.211,HARDER
1,92.09,9.51,6,0,83.3,0,0.582,HARDER
3,70.78,33.97,8,1,68.22,0,1.965,EASIER
4,71.74,29.3,9,2,63.09,0,2.419,EASIER
1,91.55,18.46,6,0,93.39,0,0.65,HARDER
3,74.41,29.96,9,2,74.28,0,1.984,EASIER
1,90.03,10.53,7,1,93.27,0,0.72,HARDER
4,57.5,64.87,11,2,65.26,0,2.87,EASIER
3,93.49,29.17,6,0,90.73,1,1.492,HARDER
2,85.16,19.89,6,0,78.55,0,1.155,EASIER
2,74.01,25.14,7,1,73.21,0,1.458,SAME
3,55.4,21.88,14,5,61.32,0,2.515,EASIER
4,85.29,37.17,6,0,80.61,0,2.068,HARDER
5,75.58,23.98,13,4,83.1,0,2.926,EASIER
3,82.11,12.08,6,0,77.2,0,1.549,HARDER
1,98.64,12.21,6,0,89.41,1,0.502,HARDER
5,78.61,40.41,6,0,72.78,0,2.59,SAME
4,76.94,19.81,11,3,76.2,0,2.378,EASIER
4,72.46,32.78,8,2,68.44,0,2.432,EASIER
1,85.83,14.54,6,0,78.79,0,0.71,HARDER
2,89.21,23.42,6,0,91.66,0,1.118,HARDER
4,88.97,51.14,6,0,81.87,0,2.106,SAME
5,68.97,99.17,6,0,64.32,0,3.127,EASIER
3,94.76,36.79,6,0,93.96,0,1.524,HARDER
5,73.73,33.73,13,5,72.04,0,3.119,EASIER
5,73.81,65.28,8,1,78.17,0,2.928,EASIER
2,100.0,42.03,6,0,95.31,1,1.08,HARDER
5,86.53,31.94,7,1,83.12,0,2.515,SAME
2,100.0,15.68,6,0,91.85,0,0.905,HARDER
2,77.02,13.59,10,3,71.6,0,1.535,EASIER
4,96.92,31.92,6,0,88.06,0,1.859,HARDER
4,74.18,46.44,9,3,79.82,0,2.597,EASIER
1,87.73,32.58,9,2,80.48,0,1.001,SAME
5,48.41,71.43,12,4,51.69,0,3.65,EASIER
1,93.26,21.0,6,0,76.78,0,0.641,HARDER
5,59.17,50.92,10,3,63.98,0,3.252,EASIER
1,94.08,21.05,6,0,82.15,0,0.629,HARDER
4,63.38,47.9,7,1,73.23,0,2.569,EASIER
4,92.98,67.37,6,0,87.41,0,2.154,HARDER
4,80.52,39.67,7,1,78.07,0,2.257,SAME
4,97.8,44.42,6,0,89.17,0,1.929,HARDER
3,69.77,26.33,10,3,69.82,0,2.129,EASIER
4,90.49,41.86,7,1,84.54,0,2.122,SAME
2,66.97,21.66,14,5,62.27,0,1.94,EASIER
4,77.08,24.85,7,1,78.3,0,2.209,SAME
3,73.68,43.96,7,1,71.61,0,1.988,EASIER
