current_difficulty,accuracy,response_time,total_attempts,mistakes,score,previous_score,difficulty_change
1,54.99,34.63,12,5,50.34,37.06,EASIER
1,67.58,33.32,11,3,65.26,58.28,SAME
2,43.95,23.29,12,6,43.36,46.7,EASIER
3,61.18,49.98,16,6,58.18,72.39,SAME
2,56.61,27.89,14,5,58.49,40.59,SAME
2,67.64,34.69,14,2,71.33,73.9,SAME
1,72.92,26.2,17,4,81.13,88.04,SAME
1,76.55,20.53,10,1,79.46,92.77,HARDER
3,71.27,22.66,10,1,70.71,92.75,HARDER
2,54.77,36.86,12,3,56.58,46.9,SAME
2,74.36,60.66,10,1,76.02,55.31,SAME
2,69.95,67.26,14,4,67.27,44.85,EASIER
1,71.18,24.76,15,4,75.66,66.51,SAME
1,69.31,46.27,17,4,65.8,60.88,SAME
2,80.33,33.74,16,3,74.08,100.0,HARDER
1,72.24,24.14,17,4,67.52,88.58,SAME
3,74.67,14.13,10,2,74.25,92.8,HARDER
2,49.32,72.64,16,5,55.04,66.32,EASIER
2,100.0,15.96,15,1,98.05,91.41,HARDER
2,81.81,24.87,13,3,81.85,76.37,HARDER
2,84.65,19.88,17,4,84.98,100.0,HARDER
2,90.72,18.89,17,2,91.86,100.0,HARDER
1,79.68,42.65,10,3,74.35,75.98,SAME
3,76.9,40.25,15,4,77.78,59.53,SAME
2,88.22,19.52,10,0,88.09,100.0,HARDER
1,61.78,39.91,15,9,57.33,45.09,EASIER
1,79.98,43.53,11,3,73.26,86.01,SAME
2,82.1,58.39,17,3,81.48,92.58,SAME
3,66.86,42.56,14,3,62.79,28.02,SAME
3,70.18,39.92,16,3,70.47,53.32,SAME
2,94.49,48.2,17,0,96.83,73.56,HARDER
1,65.81,23.36,12,3,60.05,37.54,SAME
2,74.29,23.58,16,3,77.26,47.39,SAME
1,82.67,29.36,15,3,82.9,73.12,SAME
2,38.55,32.63,10,4,28.59,15.73,EASIER
1,90.12,66.87,10,0,88.45,83.68,SAME
2,92.02,53.04,14,1,100.0,88.19,HARDER
1,100.0,17.61,15,0,100.0,100.0,HARDER
1,20.0,18.92,10,10,17.51,12.64,HARDER
2,84.44,36.0,13,3,87.28,89.5,HARDER
3,96.1,38.1,13,2,89.91,100.0,HARDER
1,39.86,34.04,10,5,34.08,57.64,EASIER
1,74.49,13.86,11,3,81.75,87.18,HARDER
1,85.46,38.45,17,1,93.52,100.0,HARDER
1,93.79,33.26,17,0,99.28,100.0,HARDER
3,89.64,53.98,15,1,86.69,82.22,HARDER
3,67.6,46.71,13,6,72.92,46.04,SAME
2,66.96,42.44,10,4,76.03,82.1,SAME
2,76.62,31.14,15,3,74.09,67.02,SAME
3,79.18,15.64,13,1,80.63,77.82,HARDER
1,72.05,69.31,13,1,79.9,75.37,SAME
1,74.92,53.15,14,4,72.22,50.92,EASIER
1,28.84,50.17,11,8,28.9,30.37,EASIER
2,61.09,57.64,16,7,68.27,57.74,EASIER
3,72.42,22.9,17,2,76.34,73.98,HARDER
2,50.61,12.69,13,6,43.04,53.23,SAME
1,72.79,40.17,14,2,81.95,99.64,SAME
1,66.55,13.88,15,6,67.85,86.34,SAME
1,78.94,24.12,14,4,80.5,75.8,SAME
3,46.22,16.21,10,6,28.82,24.8,EASIER
1,64.86,94.05,16,6,71.7,57.23,EASIER
1,87.35,48.3,15,0,83.01,84.75,HARDER
2,90.59,28.63,15,2,92.24,92.02,HARDER
2,89.34,29.92,14,1,91.21,70.64,HARDER
2,100.0,18.27,12,0,95.3,87.59,HARDER
2,55.93,19.25,11,5,59.01,51.08,SAME
1,75.92,24.08,14,1,74.96,75.82,HARDER
1,33.91,37.82,16,12,27.78,28.4,EASIER
1,78.21,30.48,16,3,66.7,43.97,SAME
2,99.6,38.89,15,0,97.81,100.0,HARDER
1,61.12,38.88,16,4,57.85,46.25,EASIER
2,68.69,48.24,14,5,81.55,72.19,SAME
